lemon,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,,,,GrammarRule1:question1,SPARQL,GrammarRule1: question2,SPARQL Question 2,GrammarRule 1: questions,SPARQL ,NP (Grammar Rule 2),type,number of rules
aircraftHelicopterTransport-of,noun,aircraft HelicopterTransport,aircraft HelicopterTransports,of,NounPPFrame,range,domain,1,dbo:aircraftHelicopterTransport,,,,,,,,,,,,,,
aircraftInterceptor-of,noun,aircraft Interceptor,aircraft Interceptors,of,NounPPFrame,range,domain,1,dbo:aircraftInterceptor,,,,,,,,,,,,,,
aircraftRecon-of,noun,aircraft Recon,aircraft Recons,of,NounPPFrame,range,domain,1,dbo:aircraftRecon,,,,,,,,,,,,,,
aircraftTransport-of,noun,aircraft Transport,aircraft Transports,of,NounPPFrame,range,domain,1,dbo:aircraftTransport,,,,,,,,,,,,,,
album-of,noun,album,albums,of,NounPPFrame,range,domain,1,dbo:album,,,,,,,,,,,,,,
allegiance-of,noun,allegiance,allegiances,of,NounPPFrame,range,domain,1,dbo:allegiance,,,,,,,,,,,,,,
almaMater-of,noun,almaMater,almaMaters,of,NounPPFrame,range,domain,1,dbo:almaMater,,,,,,,,,,,,,,
alumni-of,noun,alumni,alumnis,of,NounPPFrame,range,domain,1,dbo:alumni,,,,,,,,,,,,,,
animal-of,noun,animal,animals,of,NounPPFrame,range,domain,1,dbo:animal,,,,,,,,,,,,,,
anniversary-of,noun,anniversary,anniversaries,of,NounPPFrame,range,domain,1,dbo:anniversary,,,,,,,,,,,,,,
apoapsis-of,noun,apoapsis,apoapses,of,NounPPFrame,range,domain,1,dbo:apoapsis,,,,,,,,,,,,,,
appointer-of,noun,appointer,appointers,of,NounPPFrame,range,domain,1,dbo:appointer,,,,,,,,,,,,,,
archipelago-of,noun,archipelago,archipelagoes,of,NounPPFrame,range,domain,1,dbo:archipelago,,,,,,,,,,,,,,
architecturalStyle-of,noun,architectural Style,-,of,NounPPFrame,range,domain,1,dbo:architecturalStyle,,,,,,,,,,,,,,
areaMetro-of,noun,area Metro,area Metro,of,NounPPFrame,range,domain,1,dbo:areaMetro,,,,,,,,,,,,,,
areaOfCatchmentQuote-of,noun,area of Catchment Quote,area of Catchment Quotes,of,NounPPFrame,range,domain,1,dbo:areaOfCatchmentQuote,,,,,,,,,,,,,,
areaQuote-of,noun,area Quote,area Quotes,of,NounPPFrame,range,domain,1,dbo:areaQuote,,,,,,,,,,,,,,
areaWater-of,noun,area Water,area Water,of,NounPPFrame,range,domain,1,dbo:areaWater,,,,,,,,,,,,,,
arm-of,noun,arm,arms,of,NounPPFrame,range,domain,1,dbo:arm,,,,,,,,,,,,,,
artery-of,noun,artery,arteries,of,NounPPFrame,range,domain,1,dbo:artery,,,,,,,,,,,,,,
aSide-of,noun,aSide,aSides,of,NounPPFrame,range,domain,1,dbo:aSide,,,,,,,,,,,,,,
assembly-of,noun,assembly,assemblies,of,NounPPFrame,range,domain,1,dbo:assembly,,,,,,,,,,,,,,
assets-of,noun,asset,assets,of,NounPPFrame,range,domain,1,dbo:assets,,,,,,,,,,,,,,
associatedAct-of,noun,associated act,associated acts,of,NounPPFrame,range,domain,1,dbo:associatedAct,,,,,,,,,,,,,,
associatedMusicalArtist-of,noun,associated Musical Artist,associated Musical Artists,of,NounPPFrame,range,domain,1,dbo:associatedMusicalArtist,,,,,,,,,,,,,,
associate-of,noun,associate,associates,of,NounPPFrame,range,domain,1,dbo:associate,,,,,,,,,,,,,,
associationOfLocalGovernment-of,noun,association of Local Government,associations of Local Government,of,NounPPFrame,range,domain,1,dbo:associationOfLocalGovernment,,,,,,,,,,,,,,
atcSuffix-of,noun,atc Suffix,atc Suffixes,of,NounPPFrame,range,domain,1,dbo:atcSuffix,,,,,,,,,,,,,,
athletics-of,noun,athlete,athletics,of,NounPPFrame,range,domain,1,dbo:athletics,,,,,,,,,,,,,,
authority-of,noun,authority,authorities,of,NounPPFrame,range,domain,1,dbo:authority,,,,,,,,,,,,,,
availableSmartCard-of,noun,available Smart Card,available Smart Cards,of,NounPPFrame,range,domain,1,dbo:availableSmartCard,,,,,,,,,,,,,,
averageClassSize-of,noun,average Class Size,-,of,NounPPFrame,range,domain,1,dbo:averageClassSize,,,,,,,,,,,,,,
averageDepthQuote-of,noun,average Depth Quote,average Depth Quotes,of,NounPPFrame,range,domain,1,dbo:averageDepthQuote,,,,,,,,,,,,,,
background-of,noun,background,-,of,NounPPFrame,range,domain,1,dbo:background,,,,,,,,,,,,,,
battle-of,noun,battle,battles,of,NounPPFrame,range,domain,1,dbo:battle,,,,,,,,,,,,,,
beatifiedBy,noun,beatified,-,by,NounPPFrame,range,domain,1,dbo:beatifiedBy,,,,,,,,,,,,,,
beatifiedPlace-of,noun,beatified Place,beatified Places,of,NounPPFrame,range,domain,1,dbo:beatifiedPlace,,,,,,,,,,,,,,
beltwayCity-of,noun,beltway City,beltway Cities,of,NounPPFrame,range,domain,1,dbo:beltwayCity,,,,,,,,,,,,,,
bibsysId-of,noun,bibsys Id,bibsys Ids,of,NounPPFrame,range,domain,1,dbo:bibsysId,,,,,,,,,,,,,,
billed-of,noun,billed,-,of,NounPPFrame,range,domain,1,dbo:billed,,,,,,,,,,,,,,
binomialAuthority-of,noun,binomial Authority,binomial Authorities,of,NounPPFrame,range,domain,1,dbo:binomialAuthority,,,,,,,,,,,,,,
biome-of,noun,biome,biomes,of,NounPPFrame,range,domain,1,dbo:biome,,,,,,,,,,,,,,
birthName-of,noun,birth Name,-,of,NounPPFrame,range,domain,1,dbo:birthName,,,,,,,,,,,,,,
blockAlloy-of,noun,block Alloy,block Alloys,of,NounPPFrame,range,domain,1,dbo:blockAlloy,,,,,,,,,,,,,,
board-of,noun,board,boards,of,NounPPFrame,range,domain,1,dbo:board,,,,,,,,,,,,,,
bodyStyle-of,noun,body Style,body Styles,of,NounPPFrame,range,domain,1,dbo:bodyStyle,,,,,,,,,,,,,,
boilerPressure-of,noun,boiler Pressure,-,of,NounPPFrame,range,domain,1,dbo:boilerPressure,,,,,,,,,,,,,,
bpnId-of,noun,bpn Id,bpn Ids,of,NounPPFrame,range,domain,1,dbo:bpnId,,,,,,,,,,,,,,
brainInfoType-of,noun,brain InfoType,brain InfoTypes,of,NounPPFrame,range,domain,1,dbo:brainInfoType,,,,,,,,,,,,,,
branchTo,noun,branch,branches,to,NounPPFrame,range,domain,1,dbo:branchTo,,,,,,,,,,,,,,
breeder-of,noun,breeder,breeders,of,NounPPFrame,range,domain,1,dbo:breeder,,,,,,,,,,,,,,
broadcastArea-of,noun,broad cast area,broad cast areas,of,NounPPFrame,range,domain,1,dbo:broadcastArea,,,,,,,,,,,,,,
broadcastRepeater-of,noun,broadcast Repeater,broadcast Repeaters,of,NounPPFrame,range,domain,1,dbo:broadcastRepeater,,,,,,,,,,,,,,
broadcastTranslator-of,noun,broadcast Translator,broadcast Translators,of,NounPPFrame,range,domain,1,dbo:broadcastTranslator,,,,,,,,,,,,,,
building-of,noun,building,buildings,of,NounPPFrame,range,domain,1,dbo:building,,,,,,,,,,,,,,
callSign-of,noun,call Sign,call Signs,of,NounPPFrame,range,domain,1,dbo:callSign,,,,,,,,,,,,,,
campus-of,noun,campus,campuses,of,NounPPFrame,range,domain,1,dbo:campus,,,,,,,,,,,,,,
campusType-of,noun,campus Type,campus Types,of,NounPPFrame,range,domain,1,dbo:campusType,,,,,,,,,,,,,,
canonizedBy,noun,canonized,-,by,NounPPFrame,range,domain,1,dbo:canonizedBy,,,,,,,,,,,,,,
canonizedPlace-of,noun,canonized Place,canonized Places,of,NounPPFrame,range,domain,1,dbo:canonizedPlace,,,,,,,,,,,,,,
capacity-of,noun,capacity,-,of,NounPPFrame,range,domain,1,dbo:capacity,,,,,,,,,,,,,,
capitalElevation-of,noun,capital Elevation,-,of,NounPPFrame,range,domain,1,dbo:capitalElevation,,,,,,,,,,,,,,
capitalPlace-of,noun,capital Place,-,of,NounPPFrame,range,domain,1,dbo:capitalPlace,,,,,,,,,,,,,,
capital-of,noun,capital,,of,NounPPFrame,range,domain,1,dbo:capital,,,,,,,,,,,,,,
captureDate-of,noun,capture Date,capture Dates,of,NounPPFrame,range,domain,1,dbo:captureDate,,,,,,,,,,,,,,
careerPrizeMoney-of,noun,career Prize Money,-,of,NounPPFrame,range,domain,1,dbo:careerPrizeMoney,,,,,,,,,,,,,,
casSupplemental-of,noun,cas Supplemental,cas Supplementals,of,NounPPFrame,range,domain,1,dbo:casSupplemental,,,,,,,,,,,,,,
category-of,noun,category,categories,of,NounPPFrame,range,domain,1,dbo:category,,,,,,,,,,,,,,
ceeb-of,noun,ceeb,ceebs,of,NounPPFrame,range,domain,1,dbo:ceeb,,,,,,,,,,,,,,
centuryBreaks-of,noun,centuryBreaks,-,of,NounPPFrame,range,domain,1,dbo:centuryBreaks,,,,,,,,,,,,,,
ceremonialCounty-of,noun,ceremonial County,ceremonial Counties,of,NounPPFrame,range,domain,1,dbo:ceremonialCounty,,,,,,,,,,,,,,
certificationDate-of,noun,certificationDate,,of,NounPPFrame,range,domain,1,dbo:certificationDate,,,,,,,,,,,,,,
chain-of,noun,chain,chains,of,NounPPFrame,range,domain,1,dbo:chain,,,,,,,,,,,,,,
chairman-of,noun,chairman,chairmans,of,NounPPFrame,range,domain,1,dbo:chairman,,,,,,,,,,,,,,
chairperson-of,noun,chairperson,chairpersons,of,NounPPFrame,range,domain,1,dbo:chairperson,,,,,,,,,,,,,,
championInDoubleFemale-of,noun,champion in Double Female,-,of,NounPPFrame,range,domain,1,dbo:championInDoubleFemale,,,,,,,,,,,,,,
championInMixedDouble-of,noun,champion in Mixed Double,champion in Mixed Double,of,NounPPFrame,range,domain,1,dbo:championInMixedDouble,,,,,,,,,,,,,,
championInSingleMale-of,noun,champion in Single Male,champion in Single Male,of,NounPPFrame,range,domain,1,dbo:championInSingleMale,,,,,,,,,,,,,,
chancellor-of,noun,chancellor,-,of,NounPPFrame,range,domain,1,dbo:chancellor,,,,,,,,,,,,,,
chaplain-of,noun,chaplain,chaplain,of,NounPPFrame,range,domain,1,dbo:chaplain,,,,,,,,,,,,,,
chef-of,noun,chef,chefs,of,NounPPFrame,range,domain,1,dbo:chef,,,,,,,,,,,,,,
choreographer-of,noun,choreographer,choreographers,of,NounPPFrame,range,domain,1,dbo:choreographer,,,,,,,,,,,,,,
christeningDate-of,noun,christening Date,christening Dates,of,NounPPFrame,range,domain,1,dbo:christeningDate,,,,,,,,,,,,,,
cinematography-of,noun,cinematography,cinematographies,of,NounPPFrame,range,domain,1,dbo:cinematography,,,,,,,,,,,,,,
citizenship-of,noun,nationality,-,of,NounPPFrame,range,domain,1,dbo:citizenship,,,,,,,,,,,,,,
cityType-of,noun,city Type,city Types,of,NounPPFrame,range,domain,1,dbo:cityType,,,,,,,,,,,,,,
classes-of,noun,class,classes,of,NounPPFrame,range,domain,1,dbo:classes,,,,,,,,,,,,,,
closingDate-of,noun,closing Date,closing Dates,of,NounPPFrame,range,domain,1,dbo:closingDate,,,,,,,,,,,,,,
closingYear-of,noun,closing year,closing years,of,NounPPFrame,range,domain,1,dbo:closingYear,,,,,,,,,,,,,,
coachedTeam-of,noun,coach Team,coach Teams,of,NounPPFrame,range,domain,1,dbo:coachedTeam,,,,,,,,,,,,,,
code-of,noun,code,codes,of,NounPPFrame,range,domain,1,dbo:code,,,,,,,,,,,,,,
collection-of,noun,collection,collections,of,NounPPFrame,range,domain,1,dbo:collection,,,,,,,,,,,,,,
colourName-of,noun,colour Name,colour Names,of,NounPPFrame,range,domain,1,dbo:colourName,,,,,,,,,,,,,,
colour-of,noun,colour,colours,of,NounPPFrame,range,domain,1,dbo:colour,,,,,,,,,,,,,,
commandStructure-of,noun,command Structure,command Structure,of,NounPPFrame,range,domain,1,dbo:commandStructure,,,,,,,,,,,,,,
commissioningDate-of,noun,commissioning Date,commissioning Dates,of,NounPPFrame,range,domain,1,dbo:commissioningDate,,,,,,,,,,,,,,
committeeInLegislature-of,noun,committee In Legislature,committee In Legislature,of,NounPPFrame,range,domain,1,dbo:committeeInLegislature,,,,,,,,,,,,,,
company-of,noun,company,ccompanies,of,NounPPFrame,range,domain,1,dbo:company,,,,,,,,,,,,,,
compiler-of,noun,compiler,compilers,of,NounPPFrame,range,domain,1,dbo:compiler,,,,,,,,,,,,,,
complexity-of,noun,complexity,complexities,of,NounPPFrame,range,domain,1,dbo:complexity,,,,,,,,,,,,,,
computingPlatform-of,noun,computing Platform,computing Platforms,of,NounPPFrame,range,domain,1,dbo:computingPlatform,,,,,,,,,,,,,,
congressionalDistrict-of,noun,congressional District,congressional Districts,of,NounPPFrame,range,domain,1,dbo:congressionalDistrict,,,,,,,,,,,,,,
conservationStatus-of,noun,conservation Status,conservation Statuses,of,NounPPFrame,range,domain,1,dbo:conservationStatus,,,,,,,,,,,,,,
constructionMaterial-of,noun,construction Material,construction Materials,of,NounPPFrame,range,domain,1,dbo:constructionMaterial,,,,,,,,,,,,,,
coolingSystem-of,noun,cooling System,cooling Systems,of,NounPPFrame,range,domain,1,dbo:coolingSystem,,,,,,,,,,,,,,
cost-of,noun,cost,costs,of,NounPPFrame,range,domain,1,dbo:cost,,,,,,,,,,,,,,
country-of,noun,country,countries,of,NounPPFrame,range,domain,1,dbo:country,,,,,,,,,,,,,,
countryWithFirstAstronaut-of,noun,country With First Astronaut,-,of,NounPPFrame,range,domain,1,dbo:countryWithFirstAstronaut,,,,,,,,,,,,,,
countryWithFirstSatelliteLaunched-of,noun,country With First Satellite Launched,-,of,NounPPFrame,range,domain,1,dbo:countryWithFirstSatelliteLaunched,,,,,,,,,,,,,,
course-of,noun,course,courses,of,NounPPFrame,range,domain,1,dbo:course,,,,,,,,,,,,,,
cpu-of,noun,cpu,cpus,of,NounPPFrame,range,domain,1,dbo:cpu,,,,,,,,,,,,,,
creativeDirector-of,noun,creative Director,creative Directors,of,NounPPFrame,range,domain,1,dbo:creativeDirector,,,,,,,,,,,,,,
creatorOfDish-of,noun,creator Of Dish,creator Of Dishes,X,NounPPFrame,range,domain,1,dbo:creatorOfDish,,,,,,,,,,,,,,
cuisine-of,noun,cuisine,cuisine,by,NounPPFrame,range,domain,1,dbo:cuisine,,,,,,,,,,,,,,
curator-of,noun,curator,curators,of,NounPPFrame,range,domain,1,dbo:curator,,,,,,,,,,,,,,
currentMember-of,noun,current Member,current Members,of,NounPPFrame,range,domain,1,dbo:currentMember,,,,,,,,,,,,,,
currentProduction-of,noun,current Production,current Productions,of,NounPPFrame,range,domain,1,dbo:currentProduction,,,,,,,,,,,,,,
currentRecord-of,noun,current Record,current Records,of,NounPPFrame,range,domain,1,dbo:currentRecord,,,,,,,,,,,,,,
currentStatus-of,noun,current Status,current Statuses,of,NounPPFrame,range,domain,1,dbo:currentStatus,,,,,,,,,,,,,,
custodian-of,noun,custodian,custodians,of,NounPPFrame,range,domain,1,dbo:custodian,,,,,,,,,,,,,,
cylinderCount-of,noun,cylinder Count,cylinder Counts,of,NounPPFrame,range,domain,1,dbo:cylinderCount,,,,,,,,,,,,,,
damage-of,noun,damage,damages,of,NounPPFrame,range,domain,1,dbo:damage,,,,,,,,,,,,,,
dateCompleted-of,noun,date Completed,dates Completed,of,NounPPFrame,range,domain,1,dbo:dateCompleted,,,,,,,,,,,,,,
dateOfAbandonment-of,noun,date Of Abandonment,dates Of Abandonment,of,NounPPFrame,range,domain,1,dbo:dateOfAbandonment,,,,,,,,,,,,,,
date-of,noun,date,dates,of,NounPPFrame,range,domain,1,dbo:date,,,,,,,,,,,,,,
dateUse-of,noun,date Use,-,of,NounPPFrame,range,domain,1,dbo:dateUse,,,,,,,,,,,,,,
daylightSavingTimeZone-of,noun,daylight Saving Time Zone,daylight Saving Time Zones,of,NounPPFrame,range,domain,1,dbo:daylightSavingTimeZone,,,,,,,,,,,,,,
dean-of,noun,dean,deans,of,NounPPFrame,range,domain,1,dbo:dean,,,,,,,,,,,,,,
debutTeam-of,noun,debut Team,debut Teams,of,NounPPFrame,range,domain,1,dbo:debutTeam,,,,,,,,,,,,,,
declination-of,noun,declination,declinations,of,NounPPFrame,range,domain,1,dbo:declination,,,,,,,,,,,,,,
deliveryDate-of,noun,delivery Date,delivery Dates,of,NounPPFrame,range,domain,1,dbo:deliveryDate,,,,,,,,,,,,,,
demolitionYear-of,noun,demolition Year,demolition Years,of,NounPPFrame,range,domain,1,dbo:demolitionYear,,,,,,,,,,,,,,
department-of,noun,department,departments,of,NounPPFrame,range,domain,1,dbo:department,,,,,,,,,,,,,,
depth-of,noun,depth,depths,of,NounPPFrame,range,domain,1,dbo:depth,,,,,,,,,,,,,,
derivative-of,noun,derivative,derivatives,X,NounPPFrame,range,domain,1,dbo:derivative,,,,,,,,,,,,,,
destination-of,noun,destination,destinations,of,NounPPFrame,range,domain,1,dbo:destination,,,,,,,,,,,,,,
detectionMethod-of,noun,detection Method,detection Methods,of,NounPPFrame,range,domain,1,dbo:detectionMethod,,,,,,,,,,,,,,
diameter-of,noun,diameter,diameters,of,NounPPFrame,range,domain,1,dbo:diameter,,,,,,,,,,,,,,
digitalSubChannel-of,noun,digital Sub Channel,digital Sub Channels,of,NounPPFrame,range,domain,1,dbo:digitalSubChannel,,,,,,,,,,,,,,
disbanded-of,noun,disbanded,-,of,NounPPFrame,range,domain,1,dbo:disbanded,,,,,,,,,,,,,,
dischargeAverage-of,noun,discharge Average,discharge Averages,of,NounPPFrame,range,domain,1,dbo:dischargeAverage,,,,,,,,,,,,,,
displacement-of,noun,displacement,displacements,of,NounPPFrame,range,domain,1,dbo:displacement,,,,,,,,,,,,,,
dissolutionYear-of,noun,dissolution Year,dissolution Years,of,NounPPFrame,range,domain,1,dbo:dissolutionYear,,,,,,,,,,,,,,
distanceToBelfast-of,noun,distance To Belfast,-,of,NounPPFrame,range,domain,1,dbo:distanceToBelfast,,,,,,,,,,,,,,
distanceToCharingCross-of,noun,distance To Charing Cross,-,of,NounPPFrame,range,domain,1,dbo:distanceToCharingCross,,,,,,,,,,,,,,
distanceToDublin-of,noun,distance To Dublin,-,of,NounPPFrame,range,domain,1,dbo:distanceToDublin,,,,,,,,,,,,,,
distanceToLondon-of,noun,distance To London,-,of,NounPPFrame,range,domain,1,dbo:distanceToLondon,,,,,,,,,,,,,,
distance-of,noun,distance,distances,of,NounPPFrame,range,domain,1,dbo:distance,,,,,,,,,,,,,,
distributingLabel-of,noun,distributing Label,distributing Labels,of,NounPPFrame,range,domain,1,dbo:distributingLabel,,,,,,,,,,,,,,
district-of,noun,district,districts,of,NounPPFrame,range,domain,1,dbo:district,,,,,,,,,,,,,,
doctoralAdvisor-of,noun,doctoral Advisor,doctoral Advisors,of,NounPPFrame,range,domain,1,dbo:doctoralAdvisor,,,,,,,,,,,,,,
domain-of,noun,domain,domains,of,NounPPFrame,range,domain,1,dbo:domain,,,,,,,,,,,,,,
dorlandsSuffix-of,noun,dorlands Suffix,dorlands Suffixes,of,NounPPFrame,range,domain,1,dbo:dorlandsSuffix,,,,,,,,,,,,,,
draftPick-of,noun,draft Pick,draft Picks,of,NounPPFrame,range,domain,1,dbo:draftPick,,,,,,,,,,,,,,
draftTeam-of,noun,draft Team,draft Teams,of,NounPPFrame,range,domain,1,dbo:draftTeam,,,,,,,,,,,,,,
drainsFrom-of,noun,drains From,drains Froms,of,NounPPFrame,range,domain,1,dbo:drainsFrom,,,,,,,,,,,,,,
dressCode-of,noun,dress Code,dress Codes,of,NounPPFrame,range,domain,1,dbo:dressCode,,,,,,,,,,,,,,
duration-of,noun,duration,durations,of,NounPPFrame,range,domain,1,dbo:duration,,,,,,,,,,,,,,
editorTitle-of,noun,editor Title,editor Titles,of,NounPPFrame,range,domain,1,dbo:editorTitle,,,,,,,,,,,,,,
effectiveRadiatedPower-of,noun,effective Radiated Power,effective Radiated Powers,of,NounPPFrame,range,domain,1,dbo:effectiveRadiatedPower,,,,,,,,,,,,,,
electionDateLeader-of,noun,election Date Leader,election Date Leaders,of,NounPPFrame,range,domain,1,dbo:electionDateLeader,,,,,,,,,,,,,,
elevation-of,noun,elevation,elevations,of,NounPPFrame,range,domain,1,dbo:elevation,,,,,,,,,,,,,,
employer-of,noun,employer,employers,of,NounPPFrame,range,domain,1,dbo:employer,,,,,,,,,,,,,,
endowment-of,noun,endowment,endowments,of,NounPPFrame,range,domain,1,dbo:endowment,,,,,,,,,,,,,,
endPoint-of,noun,end Point,end Points,of,NounPPFrame,range,domain,1,dbo:endPoint,,,,,,,,,,,,,,
engineer-of,noun,engineer,engineers,of,NounPPFrame,range,domain,1,dbo:engineer,,,,,,,,,,,,,,
entrezgene-of,noun,entrez gene,entrez genes,in,NounPPFrame,range,domain,1,dbo:entrezgene,,,,,,,,,,,,,,
epoch-of,noun,epoch,epochs,by,NounPPFrame,range,domain,1,dbo:epoch,,,,,,,,,,,,,,
equity-of,noun,equity,equities,of,NounPPFrame,range,domain,1,dbo:equity,,,,,,,,,,,,,,
eruptionYear-of,noun,eruption Year,eruption Years,of,NounPPFrame,range,domain,1,dbo:eruptionYear,,,,,,,,,,,,,,
espnId-of,noun,espn Id,espn Ids,by,NounPPFrame,range,domain,1,dbo:espnId,,,,,,,,,,,,,,
ethnicGroup-of,noun,ethnic Group,ethnic Groups,in,NounPPFrame,range,domain,1,dbo:ethnicGroup,,,,,,,,,,,,,,
ethnicity-of,noun,ethnicity,ethnicities,of,NounPPFrame,range,domain,1,dbo:ethnicity,,,,,,,,,,,,,,
europeanParliamentGroup-of,noun,european Parliament Group,european Parliament Groups,of,NounPPFrame,range,domain,1,dbo:europeanParliamentGroup,,,,,,,,,,,,,,
executiveProducer-of,noun,executive Producer,executive Producers,of,NounPPFrame,range,domain,1,dbo:executiveProducer,,,,,,,,,,,,,,
extinctionYear-of,noun,extinction Year,extinction Years,of,NounPPFrame,range,domain,1,dbo:extinctionYear,,,,,,,,,,,,,,
faaLocationIdentifier-of,noun,faa Location Identifier,faa Location Identifiers,of,NounPPFrame,range,domain,1,dbo:faaLocationIdentifier,,,,,,,,,,,,,,
facultySize-of,noun,faculty Size,faculty Sizes,of,NounPPFrame,range,domain,1,dbo:facultySize,,,,,,,,,,,,,,
family-of,noun,family,families,of,NounPPFrame,range,domain,1,dbo:family,,,,,,,,,,,,,,
fareZone-of,noun,fare Zone,fare Zones,of,NounPPFrame,range,domain,1,dbo:fareZone,,,,,,,,,,,,,,
fastestDriverCountry-of,noun,fastest Driver Country,fastest Driver Countries,of,NounPPFrame,range,domain,1,dbo:fastestDriverCountry,,,,,,,,,,,,,,
fastestLap-of,noun,fastest Lap,fastest Laps,of,NounPPFrame,range,domain,1,dbo:fastestLap,,,,,,,,,,,,,,
fate-of,noun,fate,fates,of,NounPPFrame,range,domain,1,dbo:fate,,,,,,,,,,,,,,
feastDay-of,noun,feast Day,feast Days,of,NounPPFrame,range,domain,1,dbo:feastDay,,,,,,,,,,,,,,
fees-of,noun,fee,fees,of,NounPPFrame,range,domain,1,dbo:fees,,,,,,,,,,,,,,
fileSize-of,noun,file Size,file Sizes,of,NounPPFrame,range,domain,1,dbo:fileSize,,,,,,,,,,,,,,
finalFlight-of,noun,final Flight,final Flights,of,NounPPFrame,range,domain,1,dbo:finalFlight,,,,,,,,,,,,,,
firstAirDate-of,noun,first Air Date,first Air Dates,of,NounPPFrame,range,domain,1,dbo:firstAirDate,,,,,,,,,,,,,,
firstAscentPerson-of,noun,first Ascent Person,first Ascent Persons,of,NounPPFrame,range,domain,1,dbo:firstAscentPerson,,,,,,,,,,,,,,
firstDriverTeam-of,noun,first Driver Team,first Driver Teams,of,NounPPFrame,range,domain,1,dbo:firstDriverTeam,,,,,,,,,,,,,,
firstDriver-of,noun,first Driver,first Drivers,of,NounPPFrame,range,domain,1,dbo:firstDriver,,,,,,,,,,,,,,
firstFlightEndDate-of,noun,first Flight End Date,first Flight End Dates,of,NounPPFrame,range,domain,1,dbo:firstFlightEndDate,,,,,,,,,,,,,,
firstGame-of,noun,first Game,first Games,of,NounPPFrame,range,domain,1,dbo:firstGame,,,,,,,,,,,,,,
firstLaunchRocket-of,noun,first Launch Rocket,first Launch Rockets,of,NounPPFrame,range,domain,1,dbo:firstLaunchRocket,,,,,,,,,,,,,,
firstPopularVote-of,noun,first Popular Vote,first Popular Votes,of,NounPPFrame,range,domain,1,dbo:firstPopularVote,,,,,,,,,,,,,,
firstPublicationYear-of,noun,first Publication Year,first Publication Years,of,NounPPFrame,range,domain,1,dbo:firstPublicationYear,,,,,,,,,,,,,,
firstWin-of,noun,first Win,first Wins,of,NounPPFrame,range,domain,1,dbo:firstWin,,,,,,,,,,,,,,
flag-of,noun,flag,flags,of,NounPPFrame,range,domain,1,dbo:flag,,,,,,,,,,,,,,
floodingDate-of,noun,flooding Date,flooding Dates,of,NounPPFrame,range,domain,1,dbo:floodingDate,,,,,,,,,,,,,,
floorCount-of,noun,floor Count,floor Counts,of,NounPPFrame,range,domain,1,dbo:floorCount,,,,,,,,,,,,,,
followingEvent-of,noun,following Event,following Events,of,NounPPFrame,range,domain,1,dbo:followingEvent,,,,,,,,,,,,,,
formationDate-of,noun,formation Date,formation Dates,of,NounPPFrame,range,domain,1,dbo:formationDate,,,,,,,,,,,,,,
formerBandMember-of,noun,former Band Member,former Band Members,of,NounPPFrame,range,domain,1,dbo:formerBandMember,,,,,,,,,,,,,,
formerCallsign-of,noun,former Call sign,former Call signs,of,NounPPFrame,range,domain,1,dbo:formerCallsign,,,,,,,,,,,,,,
formerChoreographer-of,noun,former Choreographer,former Choreographers,of,NounPPFrame,range,domain,1,dbo:formerChoreographer,,,,,,,,,,,,,,
formerHighschool-of,noun,former Highschool,former Highschools,of,NounPPFrame,range,domain,1,dbo:formerHighschool,,,,,,,,,,,,,,
formerPartner-of,noun,former Partner,former Partners,of,NounPPFrame,range,domain,1,dbo:formerPartner,,,,,,,,,,,,,,
foundationPlace-of,noun,foundation Place,foundation Places,of,NounPPFrame,range,domain,1,dbo:foundationPlace,,,,,,,,,,,,,,
founder-of,noun,founder,founders,of,NounPPFrame,range,domain,1,dbo:founder,,,,,,,,,,,,,,
foundingYear-of,noun,founding Year,founding Years,of,NounPPFrame,range,domain,1,dbo:foundingYear,,,,,,,,,,,,,,
frazioni-of,noun,frazioni,-,of,NounPPFrame,range,domain,1,dbo:frazioni,,,,,,,,,,,,,,
frequencyOfPublication-of,noun,frequency Of Publication,frequency Of Publications,of,NounPPFrame,range,domain,1,dbo:frequencyOfPublication,,,,,,,,,,,,,,
frozen-of,noun,frozen,-,of,NounPPFrame,range,domain,1,dbo:frozen,,,,,,,,,,,,,,
fuelConsumption-of,noun,fuel Consumption,fuel Consumptions,of,NounPPFrame,range,domain,1,dbo:fuelConsumption,,,,,,,,,,,,,,
fuelType-of,noun,fuel Type,fuel Types,of,NounPPFrame,range,domain,1,dbo:fuelType,,,,,,,,,,,,,,
gameEngine-of,noun,game Engine,game Engines,of,NounPPFrame,range,domain,1,dbo:gameEngine,,,,,,,,,,,,,,
garrison-of,noun,garrison,garrisons,of,NounPPFrame,range,domain,1,dbo:garrison,,,,,,,,,,,,,,
gender-of,noun,gender,genders,of,NounPPFrame,range,domain,1,dbo:gender,,,,,,,,,,,,,,
genre-of,noun,genre,genres,of,NounPPFrame,range,domain,1,dbo:genre,,,,,,,,,,,,,,
geologicPeriod-of,noun,geologic Period,geologic Periods,of,NounPPFrame,range,domain,1,dbo:geologicPeriod,,,,,,,,,,,,,,
glycemicIndex-of,noun,glycemic Index,glycemic Indices,of,NounPPFrame,range,domain,1,dbo:glycemicIndex,,,,,,,,,,,,,,
governingBody-of,noun,governing Body,governing Bodies,of,NounPPFrame,range,domain,1,dbo:governingBody,,,,,,,,,,,,,,
